latitude,longitude,year,total_wood_chucked_lbs,type
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.1,2022,700.8706584819499,historical
40.2,-75.1,2022,700.8706584819499,historical
40.2,-75.1,2022,700.8706584819499,historical
40.2,-75.1,2022,700.8706584819499,historical
40.2,-75.1,2022,700.8706584819499,historical
40.2,-75.1,2022,700.8706584819499,historical
40.2,-75.1,2022,700.8706584819499,historical
40.2,-75.1,2022,700.8706584819499,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.1,2022,4759.961181173278,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-80.0,2022,7735.661335178934,historical
40.3,-79.4,2022,11971.323131685194,historical
40.3,-79.4,2022,11971.323131685194,historical
40.3,-79.4,2022,11971.323131685194,historical
40.3,-79.4,2022,11971.323131685194,historical
40.3,-79.4,2022,11971.323131685194,historical
40.3,-79.4,2022,11971.323131685194,historical
40.3,-79.4,2022,11971.323131685194,historical
40.3,-79.4,2022,11971.323131685194,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-80.0,2022,136316.02523769168,historical
40.4,-79.9,2022,43863.66324525712,historical
40.4,-79.9,2022,43863.66324525712,historical
40.4,-79.9,2022,43863.66324525712,historical
40.4,-79.9,2022,43863.66324525712,historical
40.4,-79.9,2022,43863.66324525712,historical
40.4,-79.9,2022,43863.66324525712,historical
40.4,-79.9,2022,43863.66324525712,historical
40.4,-79.9,2022,43863.66324525712,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.1,2022,16551.39520199597,historical
40.5,-80.0,2022,37991.1557219608,historical
40.5,-80.0,2022,37991.1557219608,historical
40.5,-80.0,2022,37991.1557219608,historical
40.5,-80.0,2022,37991.1557219608,historical
40.5,-80.0,2022,37991.1557219608,historical
40.5,-80.0,2022,37991.1557219608,historical
40.5,-80.0,2022,37991.1557219608,historical
40.5,-80.0,2022,37991.1557219608,historical
40.6,-80.0,2022,15569.174523916145,historical
40.6,-80.0,2022,15569.174523916145,historical
40.6,-80.0,2022,15569.174523916145,historical
40.6,-80.0,2022,15569.174523916145,historical
40.6,-80.0,2022,15569.174523916145,historical
40.6,-80.0,2022,15569.174523916145,historical
40.6,-80.0,2022,15569.174523916145,historical
40.6,-80.0,2022,15569.174523916145,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.9,2022,106162.4503641483,historical
40.8,-77.8,2022,4496.776853168433,historical
40.8,-77.8,2022,4496.776853168433,historical
40.8,-77.8,2022,4496.776853168433,historical
40.8,-77.8,2022,4496.776853168433,historical
40.8,-77.8,2022,4496.776853168433,historical
40.8,-77.8,2022,4496.776853168433,historical
40.8,-77.8,2022,4496.776853168433,historical
40.8,-77.8,2022,4496.776853168433,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.6,2023,11525.038294867722,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.4,2023,14060.858500911494,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.3,2023,10750.36180825984,historical
39.9,-75.2,2023,17668.492099226627,historical
39.9,-75.2,2023,17668.492099226627,historical
39.9,-75.2,2023,17668.492099226627,historical
39.9,-75.2,2023,17668.492099226627,historical
39.9,-75.2,2023,17668.492099226627,historical
39.9,-75.2,2023,17668.492099226627,historical
39.9,-75.2,2023,17668.492099226627,historical
39.9,-75.2,2023,17668.492099226627,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-76.7,2023,9142.392399891329,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.3,2023,11756.51219594102,historical
40.0,-75.2,2023,38701.386491196135,historical
40.0,-75.2,2023,38701.386491196135,historical
40.0,-75.2,2023,38701.386491196135,historical
40.0,-75.2,2023,38701.386491196135,historical
40.0,-75.2,2023,38701.386491196135,historical
40.0,-75.2,2023,38701.386491196135,historical
40.0,-75.2,2023,38701.386491196135,historical
40.0,-75.2,2023,38701.386491196135,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-76.3,2023,13842.493580970411,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.5,2023,2405.7014303610745,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.4,2023,5421.318219105754,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.3,2023,5651.164979377853,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.2,2023,8232.020243725681,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.1,2023,8857.31470710123,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-75.0,2023,9051.469346572912,historical
40.1,-74.9,2023,5400.795249645514,historical
40.1,-74.9,2023,5400.795249645514,historical
40.1,-74.9,2023,5400.795249645514,historical
40.1,-74.9,2023,5400.795249645514,historical
40.1,-74.9,2023,5400.795249645514,historical
40.1,-74.9,2023,5400.795249645514,historical
40.1,-74.9,2023,5400.795249645514,historical
40.1,-74.9,2023,5400.795249645514,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.5,2023,2230.180177483728,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.2,2023,1710.7548430117713,historical
40.2,-75.1,2023,6153.741533295495,historical
40.2,-75.1,2023,6153.741533295495,historical
40.2,-75.1,2023,6153.741533295495,historical
40.2,-75.1,2023,6153.741533295495,historical
40.2,-75.1,2023,6153.741533295495,historical
40.2,-75.1,2023,6153.741533295495,historical
40.2,-75.1,2023,6153.741533295495,historical
40.2,-75.1,2023,6153.741533295495,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-80.0,2023,18286.201986932083,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-79.4,2023,14894.112056362415,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-76.9,2023,114534.13224078096,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.2,2023,1110.4448641965157,historical
40.3,-75.0,2023,3508.955381984565,historical
40.3,-75.0,2023,3508.955381984565,historical
40.3,-75.0,2023,3508.955381984565,historical
40.3,-75.0,2023,3508.955381984565,historical
40.3,-75.0,2023,3508.955381984565,historical
40.3,-75.0,2023,3508.955381984565,historical
40.3,-75.0,2023,3508.955381984565,historical
40.3,-75.0,2023,3508.955381984565,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-80.0,2023,100537.38216117048,historical
40.4,-79.9,2023,32350.839653575396,historical
40.4,-79.9,2023,32350.839653575396,historical
40.4,-79.9,2023,32350.839653575396,historical
40.4,-79.9,2023,32350.839653575396,historical
40.4,-79.9,2023,32350.839653575396,historical
40.4,-79.9,2023,32350.839653575396,historical
40.4,-79.9,2023,32350.839653575396,historical
40.4,-79.9,2023,32350.839653575396,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.2,2023,13056.781405541517,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-80.0,2023,28019.67952706416,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.9,2023,20762.972728416345,historical
40.5,-79.8,2023,14757.405984855524,historical
40.5,-79.8,2023,14757.405984855524,historical
40.5,-79.8,2023,14757.405984855524,historical
40.5,-79.8,2023,14757.405984855524,historical
40.5,-79.8,2023,14757.405984855524,historical
40.5,-79.8,2023,14757.405984855524,historical
40.5,-79.8,2023,14757.405984855524,historical
40.5,-79.8,2023,14757.405984855524,historical
40.6,-80.0,2023,11482.75887824311,historical
40.6,-80.0,2023,11482.75887824311,historical
40.6,-80.0,2023,11482.75887824311,historical
40.6,-80.0,2023,11482.75887824311,historical
