latitude,longitude,year,total_wood_chucked_lbs,type
40.4,-80.0,2020,122121.891258387,historical
40.4,-79.9,2020,39296.285991991,historical
40.4,-79.8,2020,15990.21580105599,historical
40.4,-79.5,2020,298.6707094342542,historical
40.4,-79.0,2020,17448.08940887278,forecast
40.4,-77.2,2020,1231.6861512199011,historical
40.4,-75.5,2020,13512.689072097157,historical
40.4,-75.4,2020,13888.24768829374,forecast
40.4,-75.2,2020,30622.06415743653,historical
40.5,-80.2,2020,4500.799401344068,historical
40.5,-80.1,2020,4207.932753129833,historical
40.5,-80.0,2020,34035.26313041951,historical
40.5,-79.9,2020,25220.603950833927,historical
40.5,-79.8,2020,17925.693808590553,historical
40.5,-79.7,2020,5919.188670833908,historical
40.5,-79.4,2020,1738.0856462562076,historical
40.5,-78.2,2020,159.94725403531052,historical
40.6,-80.1,2020,2878.8240579513013,historical
40.6,-80.0,2020,4288.070089383618,historical
40.6,-79.9,2020,2590.130169181321,historical
40.6,-79.7,2020,4607.988431751084,historical
40.6,-78.7,2020,493.4421319118511,historical
40.6,-77.4,2020,6370.388099514284,forecast
40.6,-76.0,2020,6370.3880995142845,forecast
40.6,-75.7,2020,9138.395524148382,historical
40.6,-75.5,2020,12385.696049874528,historical
40.7,-79.7,2020,1581.3333449032089,historical
40.7,-79.5,2020,673.2662551119026,historical
40.7,-79.2,2020,178.7908684805223,historical
40.7,-78.6,2020,1287.087731507655,forecast
40.7,-78.5,2020,687.5408726114426,historical
40.7,-78.1,2020,353.5185063941897,historical
40.7,-75.2,2020,12251.950628467825,historical
40.8,-79.8,2020,730.3346773649358,historical
40.8,-79.7,2020,111.1083978413226,historical
40.8,-78.5,2020,396.9966243108983,historical
40.8,-77.9,2020,23111.55272036783,historical
40.8,-77.8,2020,1671.910818665483,historical
40.8,-76.4,2020,4806.723316998266,forecast
40.8,-76.0,2020,941.5916498141612,historical
40.8,-75.3,2020,497.7922699805639,historical
40.8,-75.2,2020,114.42181344372234,historical
40.9,-79.5,2020,85.91134972867722,historical
40.9,-79.4,2020,162.2083902988064,historical
40.9,-79.3,2020,234.0951973099685,historical
40.9,-76.5,2020,185.58765353715413,historical
40.9,-76.1,2020,88.9645883464236,historical
40.9,-75.5,2020,910.2877150844032,historical
41.0,-80.1,2020,186.8086249420039,historical
41.0,-77.9,2020,1213.6455764206005,historical
41.0,-76.9,2020,3271.040182940698,historical
41.0,-76.6,2020,2870.74218379423,historical
41.0,-76.5,2020,371.1753070743083,historical
41.0,-76.4,2020,2414.239392746607,historical
41.1,-80.4,2020,14528.38975679002,forecast
41.1,-80.0,2020,181.3710974330432,historical
41.1,-79.4,2020,111.1083978413226,historical
41.1,-78.8,2020,11851.645844346647,historical
41.1,-78.7,2020,1128.4992866073844,historical
41.1,-76.7,2020,235.3306193022239,forecast
41.1,-76.6,2020,185.58765353715413,historical
41.1,-75.5,2020,125.55692621853838,historical
41.1,-75.0,2020,2097.873469278836,historical
41.2,-80.4,2020,186.8086249420039,historical
41.2,-80.1,2020,2323.715229499881,historical
41.2,-79.8,2020,1168.5222685580927,forecast
41.2,-79.5,2020,1319.4068432632266,forecast
41.2,-75.9,2020,5619.951900652744,historical
41.2,-75.4,2020,21880.40355143181,historical
41.3,-80.4,2020,437.1888759056512,historical
41.3,-79.4,2020,1362.7883403375274,historical
41.3,-75.9,2020,5104.914163533466,historical
41.3,-75.1,2020,264.95079485238455,historical
41.3,-74.8,2020,264.95079485238455,historical
41.4,-80.4,2020,2557.584584080346,historical
41.4,-80.1,2020,186.8086249420039,historical
41.4,-75.7,2020,7272.762046238446,historical
41.5,-80.0,2020,20347.529592238207,forecast
41.5,-75.7,2020,51208.30938768305,historical
41.6,-80.2,2020,367.1309781936089,forecast
41.6,-79.7,2020,3878.130641179777,historical
41.7,-80.1,2020,749.3607157229496,historical
41.7,-77.8,2020,1213.6455764206005,historical
41.8,-79.1,2020,119.85055310004651,forecast
