population,density,St,lat,long,latitudeGrid,longitudeGrid
186,18.9,Pennsylvania,41.9726,-78.5626,42.0,-78.6
915,21.2,Pennsylvania,41.954,-78.4923,42.0,-78.5
60,79.9,Pennsylvania,41.8087,-78.4195,41.8,-78.4
2437,18.3,Pennsylvania,41.9489,-78.3884,41.9,-78.4
283,17.2,Pennsylvania,41.8581,-78.5964,41.9,-78.6
235,7.5,Pennsylvania,41.7059,-78.5825,41.7,-78.6
5743,8.9,Pennsylvania,41.6619,-78.7978,41.7,-78.8
2507,15.8,Pennsylvania,41.8211,-78.6805,41.8,-78.7
1077,9.4,Pennsylvania,41.7247,-78.6446,41.7,-78.6
3889,14.2,Pennsylvania,41.8169,-78.2799,41.8,-78.3
208,18.6,Pennsylvania,41.9015,-78.5392,41.9,-78.5
555,21.0,Pennsylvania,41.9262,-78.4942,41.9,-78.5
4141,10.2,Pennsylvania,41.8021,-78.4702,41.8,-78.5
472,8.3,Pennsylvania,41.8847,-78.3308,41.9,-78.3
489,236.8,Pennsylvania,41.2866,-80.4237,41.3,-80.4
639,23.1,Pennsylvania,41.3931,-80.1837,41.4,-80.2
4667,840.9,Pennsylvania,41.211,-80.4944,41.2,-80.5
1981,30.7,Pennsylvania,41.3241,-80.2699,41.3,-80.3
17246,64.2,Pennsylvania,41.4057,-80.3739,41.4,-80.4
15669,86.8,Pennsylvania,41.1607,-80.0841,41.2,-80.1
2129,25.2,Pennsylvania,41.4432,-80.2153,41.4,-80.2
1571,21.9,Pennsylvania,41.2801,-80.1037,41.3,-80.1
3584,32.0,Pennsylvania,41.4566,-80.4492,41.5,-80.4
12750,46.3,Pennsylvania,41.2325,-80.234,41.2,-80.2
2721,21.7,Pennsylvania,41.3383,-80.0497,41.3,-80.0
13378,1417.8,Pennsylvania,41.2316,-80.4993,41.2,-80.5
16233,204.2,Pennsylvania,41.2326,-80.453,41.2,-80.5
6989,124.8,Pennsylvania,41.2676,-80.4656,41.3,-80.5
136,255.2,Pennsylvania,41.4435,-80.2055,41.4,-80.2
2369,23.4,Pennsylvania,41.3439,-80.0976,41.3,-80.1
2459,36.9,Pennsylvania,41.3244,-80.4197,41.3,-80.4
4572,66.7,Pennsylvania,41.1741,-80.4528,41.2,-80.5
680,281.5,Pennsylvania,41.2009,-80.4978,41.2,-80.5
505,14.8,Pennsylvania,41.4815,-80.0203,41.5,-80.0
769,22.1,Pennsylvania,40.5075,-77.8392,40.5,-77.8
4943,39.5,Pennsylvania,40.6016,-77.7358,40.6,-77.7
1987,521.4,Pennsylvania,40.6361,-77.5625,40.6,-77.6
194,104.9,Pennsylvania,40.5537,-77.6255,40.6,-77.6
